Method,caltech101,dtd,eurosat,fgvc_aircraft,food-101,oxford_flowers,oxford_pets,stanford_cars,ucf101
dinov3_vitl16_gda
1,5.27,2.13,11.11,0.99,0.99,0.49,2.67,0.55,1.16
2,91.62,54.33,73.34,53.94,80.00,99.76,89.14,79.35,79.79
4,96.40,64.93,81.22,62.44,84.28,99.78,92.81,84.33,83.17
8,97.01,72.20,90.18,68.56,87.69,99.85,94.58,88.92,86.69
16,98.03,75.57,92.12,73.78,88.95,99.85,95.40,91.41,88.12
dinov3_vitl16_prototype
1,87.76,46.77,59.83,39.83,70.14,98.50,83.38,65.79,70.21
2,91.94,57.55,71.44,44.35,79.56,99.80,88.48,76.85,79.23
4,96.06,66.08,77.04,48.74,83.86,99.84,92.45,80.96,82.13
8,96.85,72.18,86.15,51.24,86.80,99.89,94.27,85.57,85.47
16,97.58,75.16,87.86,54.98,88.09,99.89,94.89,87.21,85.95
rn50_gda_use_text_
1,5.27,2.13,11.11,0.99,0.99,0.49,2.67,0.55,1.16
2,80.34,40.86,56.51,16.73,47.52,74.49,46.59,37.90,53.07
4,85.31,52.27,71.74,22.54,58.36,86.95,63.97,51.02,64.47
8,89.29,60.89,78.23,29.75,67.09,92.19,75.82,62.57,71.28
16,91.25,65.58,81.92,35.10,72.21,94.79,83.38,70.41,75.22
rn50_gda_use_text_project
1,5.27,2.13,11.11,0.99,0.99,0.49,2.67,0.55,1.16
2,81.03,41.75,58.60,16.83,48.08,75.04,49.83,38.25,54.36
4,85.71,52.90,72.42,22.54,58.67,87.01,65.67,51.26,64.76
8,89.59,61.27,78.74,29.55,67.25,92.15,76.85,62.33,71.16
16,91.17,66.15,82.58,34.87,72.15,94.78,83.78,70.22,75.39
rn50_prototype_use_text_
1,79.45,36.29,51.62,16.18,52.86,68.60,59.25,37.56,50.96
2,84.67,45.11,58.95,18.93,63.89,79.56,74.19,48.12,60.23
4,87.69,52.78,67.78,21.94,70.34,83.27,79.90,56.79,67.10
8,89.83,58.10,71.39,24.18,73.84,84.84,83.17,62.94,71.57
16,90.22,60.56,72.41,25.68,75.88,86.40,85.71,66.94,73.27
rn50_prototype_use_text_project
1,81.56,38.36,54.14,16.60,56.39,70.54,62.23,40.73,53.82
2,86.36,47.73,60.79,19.16,66.63,80.66,76.77,51.39,63.54
4,89.03,55.04,69.93,22.46,72.30,84.31,81.54,60.05,69.94
8,90.45,60.78,73.41,25.01,75.37,85.67,84.49,65.36,74.05
16,91.01,62.61,74.39,26.64,77.12,87.09,86.73,69.46,75.22
